id_n,weight,Year,GROSS_INCOME,CONS_Food,CONS_Alcohol_Tobacco,CONS_Clothing_Footwear,CONS_Housing,CONS_Hhold_Goods_Services,CONS_Health,CONS_Transport,CONS_Communication,CONS_Recreation_Culture,CONS_Education,CONS_Restaurants_Hotels,CONS_Miscellaneous,CONS_Total,CONS_Other
43701,60.62,2015,10005.3916,450.85,0,530.0833333,375,0,56.66666667,896,530,0,203.0833359,418,4.166666667,3463.850003,3013.000003
44811,82.23,2015,20655.2793,1227.69,1540.34568,158.3333333,2484.029311,732.2,60.66666667,3555.580001,2140,375,660.833313,612.0999756,149.8,13696.57828,12468.88828
27502,71.37,2015,1156.93335,356,117.74079,0,0,0,0,0,0,0,0,0,0,473.74079,117.74079
30405,81.57,2015,263.0470886,431.16,0,0,0,0,1,0,0,0,0,32,0,464.16,33
22503,48.29,2015,6315.279785,1103.7,0,166.6666667,240,13.9,0,400,120,0,89.16666412,4,1021.9,3159.333331,2055.633331
59213,47.87,2015,912.8240356,547.66,0,29.16666667,0,0,180,400,80,0,0,0,0,1236.826667,689.1666667
33604,74.02,2015,3615.89502,408.6217777,0,22.5,247,0,0,511.2499987,100,116.6666667,0,0,0,1406.038443,997.4166654
38515,77.3,2015,3343.168945,350.09,0,39.16666667,0,0,2,238,100,0,41.66666794,20,15.9,806.8233346,456.7333346
57801,84.27,2015,2120.727783,561.12,0,0,0,0,240,0,0,0,0,0,0,801.12,240
40713,45.35,2015,1963.675049,388.92,411.4191,100,0,863.3333333,8.333333333,456,210,263.3333333,0,134,241.5,3076.8391,2687.9191
48006,71.28,2015,3005.466309,850.5091005,0,0,0,0,10.58333333,256,60,0,0,29.10000038,0,1206.192434,355.6833337
11603,59.49,2015,1500,390.18,0,116.6666667,0,0,0,64,0,0,0,130,816,1516.846667,1126.666667
45902,79.07,2015,12218.93164,409.16,235.116,12.5,0,0,447.5,2812.916667,480,0,0,408,0,4805.192667,4396.032667
53207,52.46,2015,5471.018555,439.34,0,191.6666667,550,140,0,0,100,41.66666667,107.4166641,0,0,1570.089997,1130.749997
16010,217.14,2015,900,361.46,129.208,37.5,0,0,0,0,0,0,0,0,0,528.168,166.708
25013,66.39,2015,491.6666565,503.7,0,455.8333333,1477.828486,14.93333333,0,3708.62,624,150,0,511.1000023,125.7,7571.715155,7068.015155
27613,101.65,2015,1253.356689,356,323.02,58.75,33.33333206,24,0,120,80,0,17.41666603,0,168,1180.519998,824.5199981
53704,47.28,2015,32.50946808,415.17,0,166.6666667,184,0,0,28,180,0,0,8,0,981.8366667,566.6666667
24511,87.89,2015,1075.082397,382.68,0,100,0,0,9.333333333,80,100,0,19.99999952,179.9000015,300,1171.913334,789.2333344
39109,62.97,2015,2523.042725,413.83,0,95.83333333,400,0,0,0,360,0,0,830,55.9,2155.563333,1741.733333
42906,82.87,2015,4172.006836,652.3,809.5394,1075,3248.487227,216.6666667,43.33333333,276,370,280,992.416676,32,131.9,8127.643303,7475.343303
8202,64.35,2015,0,425.49,0,0,0,0,0,0,40,0,0,564,618,1647.49,1222
4005,120.98,2015,1647,356.53,0,125,300,0,897,768,340,0,0,304,0,3090.53,2734
2511,71.18,2015,557.5671387,722.95,0,666.6666667,50,222.8,41.66666667,916,80,0,33.33333206,90,202.5,3025.916665,2302.966665
14714,98.02,2015,4090.363281,619.7088833,0,0,390,0,40,800,80,0,68.33333588,0,0,1998.042219,1378.333336
37007,82.45,2015,1465.223511,389.57,0,558.3333333,0,0,6,440,128,0,0,384,0,1905.903333,1516.333333
8610,107.58,2015,10250,425.49,62.6976,2658.983333,350,0.7,250,642.4999997,360,0,720.833313,60,2051.92,7583.124246,7157.634246
16002,217.14,2015,31.05590057,405.5632074,537.408,450,0,0,0,392,1200,0,0,142,0,3126.971207,2721.408
53213,52.46,2015,7085.233887,439.34,111.96,83.33333333,130,0,11,0,0,0,6.666666508,0,0,782.2999998,342.9599998
6314,79.24,2015,19081.94531,772.96,875.06118,137.5,200,2457.5,583.3333333,1375,438,380,10575,120,203.7,18118.05451,17345.09451
18504,86.28,2015,1425.839966,445.6691656,0,0,100,0,0,0,0,0,3110.000061,0,0,3655.669227,3210.000061
5005,94.61,2015,6198.696777,356.53,0,184.7333333,610,879.8,516.6666667,280,460,291.6666667,666.666687,298,935.9,5479.963354,5123.433354
25802,50.64,2015,1008.741272,319.88,38.7624,113.75,0,0,0,0,0,0,0,0,44,516.3924,196.5124
12801,61.1,2015,1329.42334,513.1910032,0,62.5,30,0,10,200,80,0,17.41666651,0,232,1145.10767,631.9166665
