id_n,weight,Year,GROSS_INCOME,CONS_Food,CONS_Alcohol_Tobacco,CONS_Clothing_Footwear,CONS_Housing,CONS_Hhold_Goods_Services,CONS_Health,CONS_Transport,CONS_Communication,CONS_Recreation_Culture,CONS_Education,CONS_Restaurants_Hotels,CONS_Miscellaneous,CONS_Total,CONS_Other,'CONS_Food
33811,62.04,2015,58879.201176,428.52,0.0,8499.9999996,4200.0,301.20000000000005,1800.0,14280.0,3000.0,1200.0,0.0,2769.6000132,288.0,36767.320012799995,36338.8000128,5142.24
27315,68.5,2015,3092.009766,356.0,0.0,300.0,9776.026317599999,7200.0,0.0,33682.00002,0.0,0.0,0.0,1734.7200168,0.0,53048.7463544,52692.7463544,4272.0
18914,104.82,2015,90047.4375,438.99,806.1120000000001,11499.9999996,1248.0,13400.000004,300.0,2112.0,6960.0,9300.0,0.0,3188.4000096,0.0,49253.5020132,48814.5120132,5267.88
48005,71.28,2015,5632.959228,493.32,5196.4295999999995,1238.0000003999999,12775.348752,1304.4,0.0,768.0,1920.0,0.0,0.0,0.0,381.6,24077.098352399997,23583.778352399997,5919.84
59404,70.49,2015,82900.001952,431.08,0.0,4899.9999996,0.0,0.0,3690.0,150.0,2880.0,8619.9999996,0.0,0.0,3456.0,24127.079999200003,23695.9999992,5172.96
50103,69.79,2015,66361.20703199999,421.87,0.0,1500.0,3000.0,9718.8,9839.0000004,17876.000004,51600.0,3410.0000004000003,0.0,0.0,3766.7999999999997,101132.4700048,100710.6000048,5062.4400000000005
55311,69.82,2015,19383.360348000002,415.17,0.0,2940.0,1715.0923368,2880.0,50.000000004,3840.0,1440.0,99.99999999600001,19.999999524,2400.0,3408.0,19208.262336323998,18793.092336324,4982.04
43714,60.62,2015,407.38893132000004,412.13,0.0,0.0,600.0,132.0,216.0,0.0,960.0,0.0,0.0,690.0,4896.0,7906.13,7494.0,4945.5599999999995
33203,70.08,2015,53082.421872,362.1,0.0,0.0,2850.0,0.0,600.0,1152.0,2400.0,0.0,410.00001528000007,3192.0,336.0,11302.10001528,10940.00001528,4345.200000000001
41106,21.34,2015,55383.35742,508.3027764,0.0,2300.0000004000003,2880.0,0.0,0.0,0.0,1440.0,0.0,99.99999617999998,720.0,4128.0,12076.302772980001,11567.999996580002,6099.6333168
55411,47.9,2015,8248.9599612,415.17,0.0,8000.000000399999,0.0,1500.0,0.0,0.0,0.0,960.0,0.0,0.0,0.0,10875.1700004,10460.0000004,4982.04
4209,71.66,2015,37092.0,356.53,0.0,5799.9999996,12515.656968000001,3039.9999995999997,96.0,2352.0,2640.0,0.0,4320.0,300.0,8220.0,39640.1869672,39283.656967200004,4278.36
44914,101.66,2015,14352.038088,688.5298897,0.0,0.0,240.0,0.0,0.0,0.0,0.0,0.0,29.999999279999997,0.0,0.0,958.52988898,269.99999928,8262.3586764
39914,82.68,2015,239284.35936,1266.55,0.0,21630.800004,18005.64636,2349.6000000000004,912.0,26700.0,6000.0,0.0,7480.0001219999995,644.39998632,3045.6000000000004,88034.59647232002,86768.04647232001,15198.599999999999
11411,145.83,2015,36100.444332,693.3140207,465.1488,0.0,3600.0,0.0,30.0,720.0,1200.0,0.0,30.0,0.0,0.0,6738.4628207,6045.1488,8319.7682484
20814,98.42,2015,21782.4126,455.15,0.0,300.0,4440.0,790.8000000000001,108.0,4992.0,4104.0,0.0,2010.0,0.0,3406.7999999999997,20606.75,20151.6,5461.799999999999
37305,69.79,2015,600000.0,389.57,10748.16,0.0,10800.0,0.0,1000.0000305600001,155.00000376,4800.0,21936.0,0.0,3352.800018,0.0,53181.53005232,52791.96005232,4674.84
31010,87.66,2015,18196.816403999997,431.16,12403.968,2754.9999995999997,0.0,7.199999999999999,162.0,2376.0,0.0,0.0,731.0000124,240.0,11688.0,30794.328012,30363.168012000002,5173.92
59406,70.49,2015,51143.361324,539.8533522,0.0,8499.9999996,31126.385051999998,0.0,1005.0,15804.0,960.0,3879.9999995999997,395.00001528000007,0.0,1440.0,63650.23841867999,63110.38506647999,6478.2402264
25015,66.39,2015,117491.00390400001,382.68,0.0,9000.0,799.9999694399999,300.0,3500.0000004000003,9795.0000036,8468.5713504,0.0,0.0,0.0,14400.0,46646.25132384,46263.57132384,4592.16
15514,149.19,2015,36455.639652,434.35,0.0,0.0,2700.0,0.0,0.0,720.0,960.0,0.0,217.99999235999996,0.0,648.0,5680.34999236,5245.99999236,5212.200000000001
1212,77.62,2015,24947.806643999997,356.53,0.0,6999.999999600001,960.0,0.0,0.0,35829.999996,3840.0,10100.0000004,0.0,588.0,4942.799999999999,63617.329996,63260.799996,4278.36
50809,90.39,2015,38335.239252,421.87,0.0,0.0,0.0,0.0,0.0,0.0,672.0,0.0,0.0,1152.0,0.0,2245.87,1824.0,5062.4400000000005
53408,86.97,2015,12373.154292000001,439.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,439.34,0.0,5272.08
4602,84.14,2015,93784.359372,422.9932726,0.0,6600.0,1800.0,0.0,0.0,6720.0,1200.0,450.0,1375.0000307999999,744.0,0.0,19311.993303400002,18889.0000308,5075.9192712
4408,75.57,2015,6000.0,356.53,0.0,1599.9999996,600.0,1776.0,0.0,0.0,1800.0,0.0,0.0,0.0,15072.0,21204.5299996,20847.9999996,4278.36
9414,77.21,2015,242499.3516,557.0,0.0,18999.999996,4800.0,9800.7999996,1078.8000000000002,14555.000004,10800.0,5160.0,9105.0,3789.5999448000002,4869.6,83515.7999444,82958.7999444,6684.0
39204,77.04,2015,14542.079592,572.93,0.0,0.0,3399.9999852,0.0,1473.9999996000001,0.0,4800.0,0.0,1890.9999852,0.0,360.0,12497.929970000001,11924.99997,6875.16
21805,84.07,2015,83800.001952,308.06,0.0,7500.0,2400.0,2381.6000003999998,0.0,14799.999983999998,2400.0,0.0,0.0,924.0,10123.2,40836.8599844,40528.7999844,3696.7200000000003
